Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Language-1,Store: Language-2,Store: Language-3,Store: Language-4,Store: Watching-hours,Store: Listening-hours,Store: Games-hours,Store: Internet-hours,Store: Home-hours,Store: Family-hours,Store: Social-hours,Store: Work-school-hours,Store: Out-of-home-hours,Store: Other-hours,Store: Other-specification
129,1746326773545,04/05/2025 02:46:13,1746312373545,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 10,xtiouw,10,**Chinese**,response,Classmates-value,1,,,Language 1,3,object-85,Chinese,English,,,,,,,,,,,,,
130,1746326773546,04/05/2025 02:46:13,1746312373546,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 10,xtiouw,10,**Chinese**,response,"Others (co-workers**, roommates, etc.)-value",1,,,Language 1,3,object-85,Chinese,English,,,,,,,,,,,,,
131,1746326773546,04/05/2025 02:46:13,1746312373546,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 10,xtiouw,10,**English**,response,Family members-value,NA,,,Language 2,4,object-86,Chinese,English,,,,,,,,,,,,,
132,1746326773547,04/05/2025 02:46:13,1746312373547,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 10,xtiouw,10,**English**,response,Friends*-value,1,,,Language 2,4,object-86,Chinese,English,,,,,,,,,,,,,
133,1746326773548,04/05/2025 02:46:13,1746312373548,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 10,xtiouw,10,**English**,response,Classmates-value,1,,,Language 2,4,object-86,Chinese,English,,,,,,,,,,,,,
134,1746326773548,04/05/2025 02:46:13,1746312373548,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 10,xtiouw,10,**English**,response,"Others (co-workers**, roommates, etc.)-value",1,,,Language 2,4,object-86,Chinese,English,,,,,,,,,,,,,
135,1746326773549,04/05/2025 02:46:13,1746312373549,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Listening,response,value,Chinese,,Chinese|English,At home listening,4,object-93,Chinese,English,,,,,,,,,,,,,
136,1746326773550,04/05/2025 02:46:13,1746312373550,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Listening,response,quantised,1,,Chinese|English,At home listening,4,object-93,Chinese,English,,,,,,,,,,,,,
137,1746326773551,04/05/2025 02:46:13,1746312373551,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Speaking,response,value,Chinese,,Chinese|English,At home speaking,5,object-100,Chinese,English,,,,,,,,,,,,,
138,1746326773551,04/05/2025 02:46:13,1746312373551,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Speaking,response,quantised,1,,Chinese|English,At home speaking,5,object-100,Chinese,English,,,,,,,,,,,,,
139,1746326773552,04/05/2025 02:46:13,1746312373552,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Reading,response,value,Chinese,,Chinese|English,At home reading,6,object-101,Chinese,English,,,,,,,,,,,,,
140,1746326773553,04/05/2025 02:46:13,1746312373553,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Reading,response,quantised,1,,Chinese|English,At home reading,6,object-101,Chinese,English,,,,,,,,,,,,,
141,1746326773553,04/05/2025 02:46:13,1746312373553,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Writing,response,value,Chinese,,Chinese|English,At home writing,7,object-102,Chinese,English,,,,,,,,,,,,,
142,1746326773554,04/05/2025 02:46:13,1746312373554,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Writing,response,quantised,1,,Chinese|English,At home writing,7,object-102,Chinese,English,,,,,,,,,,,,,
143,1746326773555,04/05/2025 02:46:13,1746312373555,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Listening,response,value,English,,Chinese|English,At school listening,9,object-104,Chinese,English,,,,,,,,,,,,,
144,1746326773556,04/05/2025 02:46:13,1746312373556,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Listening,response,quantised,2,,Chinese|English,At school listening,9,object-104,Chinese,English,,,,,,,,,,,,,
145,1746326773556,04/05/2025 02:46:13,1746312373556,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Speaking,response,value,English,,Chinese|English,At school speaking,10,object-105,Chinese,English,,,,,,,,,,,,,
146,1746326773557,04/05/2025 02:46:13,1746312373557,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Speaking,response,quantised,2,,Chinese|English,At school speaking,10,object-105,Chinese,English,,,,,,,,,,,,,
147,1746326773558,04/05/2025 02:46:13,1746312373558,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Reading,response,value,English,,Chinese|English,At school reading,11,object-106,Chinese,English,,,,,,,,,,,,,
148,1746326773559,04/05/2025 02:46:13,1746312373559,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Reading,response,quantised,2,,Chinese|English,At school reading,11,object-106,Chinese,English,,,,,,,,,,,,,
149,1746326773559,04/05/2025 02:46:13,1746312373559,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Writing,response,value,English,,Chinese|English,At school writing,12,object-107,Chinese,English,,,,,,,,,,,,,
150,1746326773560,04/05/2025 02:46:13,1746312373560,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Writing,response,quantised,2,,Chinese|English,At school writing,12,object-107,Chinese,English,,,,,,,,,,,,,
151,1746326773561,04/05/2025 02:46:13,1746312373561,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Listening,response,value,English,,Chinese|English,At work listening,14,object-109,Chinese,English,,,,,,,,,,,,,
152,1746326773562,04/05/2025 02:46:13,1746312373562,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Listening,response,quantised,2,,Chinese|English,At work listening,14,object-109,Chinese,English,,,,,,,,,,,,,
153,1746326773562,04/05/2025 02:46:13,1746312373562,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Speaking,response,value,English,,Chinese|English,At work speaking,15,object-110,Chinese,English,,,,,,,,,,,,,
154,1746326773563,04/05/2025 02:46:13,1746312373563,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Speaking,response,quantised,2,,Chinese|English,At work speaking,15,object-110,Chinese,English,,,,,,,,,,,,,
155,1746326773564,04/05/2025 02:46:13,1746312373564,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Reading,response,value,English,,Chinese|English,At work reading,16,object-111,Chinese,English,,,,,,,,,,,,,
156,1746326773565,04/05/2025 02:46:13,1746312373565,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Reading,response,quantised,2,,Chinese|English,At work reading,16,object-111,Chinese,English,,,,,,,,,,,,,
157,1746326773566,04/05/2025 02:46:13,1746312373566,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Writing,response,value,English,,Chinese|English,At work writing,17,object-112,Chinese,English,,,,,,,,,,,,,
158,1746326773566,04/05/2025 02:46:13,1746312373566,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Writing,response,quantised,2,,Chinese|English,At work writing,17,object-112,Chinese,English,,,,,,,,,,,,,
159,1746326773567,04/05/2025 02:46:13,1746312373567,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Listening,response,value,English,,Chinese|English,With friends listening,19,object-114,Chinese,English,,,,,,,,,,,,,
160,1746326773568,04/05/2025 02:46:13,1746312373568,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Listening,response,quantised,2,,Chinese|English,With friends listening,19,object-114,Chinese,English,,,,,,,,,,,,,
161,1746326773569,04/05/2025 02:46:13,1746312373569,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Speaking,response,value,English,,Chinese|English,With friends speaking,20,object-115,Chinese,English,,,,,,,,,,,,,
162,1746326773569,04/05/2025 02:46:13,1746312373569,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Speaking,response,quantised,2,,Chinese|English,With friends speaking,20,object-115,Chinese,English,,,,,,,,,,,,,
163,1746326773570,04/05/2025 02:46:13,1746312373570,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Reading,response,value,English,,Chinese|English,With friends reading,21,object-116,Chinese,English,,,,,,,,,,,,,
164,1746326773571,04/05/2025 02:46:13,1746312373571,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Reading,response,quantised,2,,Chinese|English,With friends reading,21,object-116,Chinese,English,,,,,,,,,,,,,
165,1746326773572,04/05/2025 02:46:13,1746312373572,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Writing,response,value,English,,Chinese|English,With friends writing,22,object-117,Chinese,English,,,,,,,,,,,,,
166,1746326773573,04/05/2025 02:46:13,1746312373573,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 11,5m3jx5,11,Writing,response,quantised,2,,Chinese|English,With friends writing,22,object-117,Chinese,English,,,,,,,,,,,,,
167,1746326773573,04/05/2025 02:46:13,1746312373573,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 12,6wlez1,12,Percentage for Chinese,response,value,40,,,Language 1,3,object-121,Chinese,English,,,,,,,,,,,,,
168,1746326773574,04/05/2025 02:46:13,1746312373574,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 12,6wlez1,12,Percentage for English,response,value,60,,,Language 2,4,object-122,Chinese,English,,,,,,,,,,,,,
169,1746326773575,04/05/2025 02:46:13,1746312373575,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 13,gubuan,13,11) Use the comment box below to indicate any additional answers to any of the questions above that you feel better describe your language background or usage.,response,value,,,,Question 11,1,object-128,Chinese,English,,,,,,,,,,,,,
170,1746326773576,04/05/2025 02:46:13,1746312373576,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 13,gubuan,13,12) Do you also speak/use any dialects of the languages you know? Please indicate the name(s) of the dialect and the degree you use them.,response,value,,,,Question 12,2,object-129,Chinese,English,,,,,,,,,,,,,
171,1746326773577,04/05/2025 02:46:13,1746312373577,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 15,4whdcn,15,"Watching TV, film, videos on websites like YouTube or Twitch (with or without subtitles)",response,value,3,,,Watching,4,object-147,Chinese,English,,,3,0,0,1,1,1,1,2,1,,
172,1746326773577,04/05/2025 02:46:13,1746312373577,-4,03/05/2025 18:46:13,220234,3,questionnaire-9kaq,,45844572,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,Page 15,4whdcn,15,"Listening to radio, music, podcasts, audiobooks",response,value,0,,,Listening,5,object-149,Chinese,English,,,3,0,0,1,1,1,1,2,1,,
