Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Language-1,Store: Language-2,Store: Language-3,Store: Language-4,Store: Watching-hours,Store: Listening-hours,Store: Games-hours,Store: Internet-hours,Store: Home-hours,Store: Family-hours,Store: Social-hours,Store: Work-school-hours,Store: Out-of-home-hours,Store: Other-hours,Store: Other-specification
37,1745793197251,27/04/2025 22:33:17,1745778797251,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,ts9c7h,4,Frequency of use,response,value,,,,Country 2 Frequency,6,object-81,Spanish,English,Japanese,,,,,,,,,,,,
38,1745793197251,27/04/2025 22:33:17,1745778797251,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,ts9c7h,4,Frequency of use,response,quantised,,,,Country 2 Frequency,6,object-81,Spanish,English,Japanese,,,,,,,,,,,,
39,1745793197251,27/04/2025 22:33:17,1745778797251,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,ts9c7h,4,,response,Country 3-value,,,,Country 3,7,object-23,Spanish,English,Japanese,,,,,,,,,,,,
40,1745793197251,27/04/2025 22:33:17,1745778797251,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,ts9c7h,4,,response,Length of stay (in months)-value,,,,Country 3,7,object-23,Spanish,English,Japanese,,,,,,,,,,,,
41,1745793197251,27/04/2025 22:33:17,1745778797251,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,ts9c7h,4,,response,Language-value,,,,Country 3,7,object-23,Spanish,English,Japanese,,,,,,,,,,,,
42,1745793197252,27/04/2025 22:33:17,1745778797252,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,ts9c7h,4,Frequency of use,response,value,,,,Country 3 Frequency,8,object-82,Spanish,English,Japanese,,,,,,,,,,,,
43,1745793197252,27/04/2025 22:33:17,1745778797252,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,ts9c7h,4,Frequency of use,response,quantised,,,,Country 3 Frequency,8,object-82,Spanish,English,Japanese,,,,,,,,,,,,
44,1745793197252,27/04/2025 22:33:17,1745778797252,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,ts9c7h,4,,response,Country 4-value,,,,Country 4,9,object-25,Spanish,English,Japanese,,,,,,,,,,,,
45,1745793197252,27/04/2025 22:33:17,1745778797252,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,ts9c7h,4,,response,Length of stay (in months)-value,,,,Country 4,9,object-25,Spanish,English,Japanese,,,,,,,,,,,,
46,1745793197253,27/04/2025 22:33:17,1745778797253,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,ts9c7h,4,,response,Language-value,,,,Country 4,9,object-25,Spanish,English,Japanese,,,,,,,,,,,,
47,1745793197253,27/04/2025 22:33:17,1745778797253,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,ts9c7h,4,Frequency of use,response,value,,,,Country 4 Frequency,10,object-83,Spanish,English,Japanese,,,,,,,,,,,,
48,1745793197253,27/04/2025 22:33:17,1745778797253,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,ts9c7h,4,Frequency of use,response,quantised,,,,Country 4 Frequency,10,object-83,Spanish,English,Japanese,,,,,,,,,,,,
49,1745793197253,27/04/2025 22:33:17,1745778797253,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,Non-native language 1,response,value,English,,Spanish|English|Japanese,Non-native language 1,3,object-94,Spanish,English,Japanese,,,,,,,,,,,,
50,1745793197253,27/04/2025 22:33:17,1745778797253,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,Non-native language 1,response,quantised,2,,Spanish|English|Japanese,Non-native language 1,3,object-94,Spanish,English,Japanese,,,,,,,,,,,,
51,1745793197254,27/04/2025 22:33:17,1745778797254,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,Non-native language 2,response,value,Japanese,,Spanish|English|Japanese,Non-native language 2,4,object-95,Spanish,English,Japanese,,,,,,,,,,,,
52,1745793197254,27/04/2025 22:33:17,1745778797254,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,Non-native language 2,response,quantised,3,,Spanish|English|Japanese,Non-native language 2,4,object-95,Spanish,English,Japanese,,,,,,,,,,,,
53,1745793197254,27/04/2025 22:33:17,1745778797254,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,Non-native language 3,response,value,,,Spanish|English|Japanese,Non-native language 3,5,object-96,Spanish,English,Japanese,,,,,,,,,,,,
54,1745793197255,27/04/2025 22:33:17,1745778797255,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,Non-native language 3,response,quantised,0,,Spanish|English|Japanese,Non-native language 3,5,object-96,Spanish,English,Japanese,,,,,,,,,,,,
55,1745793197255,27/04/2025 22:33:17,1745778797255,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,Non-native language 4,response,value,,,Spanish|English|Japanese,Non-native language 4,6,object-97,Spanish,English,Japanese,,,,,,,,,,,,
56,1745793197255,27/04/2025 22:33:17,1745778797255,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,Non-native language 4,response,quantised,0,,Spanish|English|Japanese,Non-native language 4,6,object-97,Spanish,English,Japanese,,,,,,,,,,,,
57,1745793197256,27/04/2025 22:33:17,1745778797256,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,"*Note: For example, immigrating to another country where the dominant language is different from your native language, so you learn this language through immersion in the language environment.",response,Non-native language 1-Immersion*,1,,Non-native language 1|Non-native language 2|Non-native language 3|Non-native language 4,Multiple Choice Grid,7,object-32,Spanish,English,Japanese,,,,,,,,,,,,
58,1745793197256,27/04/2025 22:33:17,1745778797256,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,"*Note: For example, immigrating to another country where the dominant language is different from your native language, so you learn this language through immersion in the language environment.",response,Non-native language 1-Classroom instruction,1,,Non-native language 1|Non-native language 2|Non-native language 3|Non-native language 4,Multiple Choice Grid,7,object-32,Spanish,English,Japanese,,,,,,,,,,,,
59,1745793197257,27/04/2025 22:33:17,1745778797257,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,"*Note: For example, immigrating to another country where the dominant language is different from your native language, so you learn this language through immersion in the language environment.",response,Non-native language 1-Self-learning,1,,Non-native language 1|Non-native language 2|Non-native language 3|Non-native language 4,Multiple Choice Grid,7,object-32,Spanish,English,Japanese,,,,,,,,,,,,
60,1745793197257,27/04/2025 22:33:17,1745778797257,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,"*Note: For example, immigrating to another country where the dominant language is different from your native language, so you learn this language through immersion in the language environment.",response,Non-native language 2-Immersion*,0,,Non-native language 1|Non-native language 2|Non-native language 3|Non-native language 4,Multiple Choice Grid,7,object-32,Spanish,English,Japanese,,,,,,,,,,,,
61,1745793197257,27/04/2025 22:33:17,1745778797257,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,"*Note: For example, immigrating to another country where the dominant language is different from your native language, so you learn this language through immersion in the language environment.",response,Non-native language 2-Classroom instruction,1,,Non-native language 1|Non-native language 2|Non-native language 3|Non-native language 4,Multiple Choice Grid,7,object-32,Spanish,English,Japanese,,,,,,,,,,,,
62,1745793197258,27/04/2025 22:33:17,1745778797258,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,"*Note: For example, immigrating to another country where the dominant language is different from your native language, so you learn this language through immersion in the language environment.",response,Non-native language 2-Self-learning,1,,Non-native language 1|Non-native language 2|Non-native language 3|Non-native language 4,Multiple Choice Grid,7,object-32,Spanish,English,Japanese,,,,,,,,,,,,
63,1745793197258,27/04/2025 22:33:17,1745778797258,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,"*Note: For example, immigrating to another country where the dominant language is different from your native language, so you learn this language through immersion in the language environment.",response,Non-native language 3-Immersion*,0,,Non-native language 1|Non-native language 2|Non-native language 3|Non-native language 4,Multiple Choice Grid,7,object-32,Spanish,English,Japanese,,,,,,,,,,,,
64,1745793197258,27/04/2025 22:33:17,1745778797258,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,"*Note: For example, immigrating to another country where the dominant language is different from your native language, so you learn this language through immersion in the language environment.",response,Non-native language 3-Classroom instruction,0,,Non-native language 1|Non-native language 2|Non-native language 3|Non-native language 4,Multiple Choice Grid,7,object-32,Spanish,English,Japanese,,,,,,,,,,,,
65,1745793197259,27/04/2025 22:33:17,1745778797259,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,"*Note: For example, immigrating to another country where the dominant language is different from your native language, so you learn this language through immersion in the language environment.",response,Non-native language 3-Self-learning,0,,Non-native language 1|Non-native language 2|Non-native language 3|Non-native language 4,Multiple Choice Grid,7,object-32,Spanish,English,Japanese,,,,,,,,,,,,
66,1745793197259,27/04/2025 22:33:17,1745778797259,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,"*Note: For example, immigrating to another country where the dominant language is different from your native language, so you learn this language through immersion in the language environment.",response,Non-native language 4-Immersion*,0,,Non-native language 1|Non-native language 2|Non-native language 3|Non-native language 4,Multiple Choice Grid,7,object-32,Spanish,English,Japanese,,,,,,,,,,,,
67,1745793197259,27/04/2025 22:33:17,1745778797259,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,"*Note: For example, immigrating to another country where the dominant language is different from your native language, so you learn this language through immersion in the language environment.",response,Non-native language 4-Classroom instruction,0,,Non-native language 1|Non-native language 2|Non-native language 3|Non-native language 4,Multiple Choice Grid,7,object-32,Spanish,English,Japanese,,,,,,,,,,,,
68,1745793197259,27/04/2025 22:33:17,1745778797259,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 5,41p5ns,5,"*Note: For example, immigrating to another country where the dominant language is different from your native language, so you learn this language through immersion in the language environment.",response,Non-native language 4-Self-learning,0,,Non-native language 1|Non-native language 2|Non-native language 3|Non-native language 4,Multiple Choice Grid,7,object-32,Spanish,English,Japanese,,,,,,,,,,,,
69,1745793197260,27/04/2025 22:33:17,1745778797260,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 6,1f2d16,6,_Age you started using **Spanish**..._,response,At home-value,3,,,Language 1,3,object-40,Spanish,English,Japanese,,,,,,,,,,,,
70,1745793197260,27/04/2025 22:33:17,1745778797260,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 6,1f2d16,6,_Age you started using **Spanish**..._,response,With friends-value,20,,,Language 1,3,object-40,Spanish,English,Japanese,,,,,,,,,,,,
71,1745793197260,27/04/2025 22:33:17,1745778797260,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 6,1f2d16,6,_Age you started using **Spanish**..._,response,At school-value,14,,,Language 1,3,object-40,Spanish,English,Japanese,,,,,,,,,,,,
72,1745793197261,27/04/2025 22:33:17,1745778797261,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 6,1f2d16,6,_Age you started using **Spanish**..._,response,At work-value,15,,,Language 1,3,object-40,Spanish,English,Japanese,,,,,,,,,,,,
73,1745793197262,27/04/2025 22:33:17,1745778797262,-4,27/04/2025 14:33:17,220221,4,questionnaire-9kaq,repeat-m9cn#4,45688841,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 6,1f2d16,6,_Age you started using **Spanish**..._,response,Language software-value,N/A,,,Language 1,3,object-40,Spanish,English,Japanese,,,,,,,,,,,,
